unmatched_address,matched_address,matched_id,score
1708 Hanover Ave.,1708 hanover ave,46443,100.0
1723 Hanover Ave.,1723 hanover ave,46491,100.0
1837 Monument Ave.,1837 monument ave,71847,100.0
2008 Monument Ave.,2008 monument ave,71872,100.0
2037 Monument Ave.,2037 monument ave,71912,100.0
1613 Park Ave.,1613 park ave,78912,100.0
300 N. Allen Ave.,300 n allen ave,1129,100.0
314 N. Granby St.,314 n granby st,42166,100.0
1403 Floyd Ave.,1403 floyd ave,1047036,100.0
1417 Floyd Ave.,1417 floyd ave,1047047,100.0
1508 Grove Ave.,1508 grove ave,44100,100.0
1808 Grove Ave.,1808 grove ave,44266,100.0
1924 Grove Ave.,1924 grove ave,44322,100.0
1519 Hanover Ave.,1519 hanover ave,46395,100.0
1621 Hanover Ave.,1621 hanover ave,3274597,100.0
1812 Hanover Ave.,1812 hanover ave,1046509,100.0
1823 Hanover Ave.,1823 hanover ave,46520,100.0
208 N. Plum St.,208 n plum st,84071,100.0
2021 W. Grace St.,2021 w grace st,40951,100.0
307 N. Granby St.,307 n granby st,42159,100.0
1403 Grove Ave.,1403 grove ave,44006,100.0
1423 Grove Ave.,1423 grove ave,44069,100.0
1610 Hanover Ave.,1610 hanover ave,46415,100.0
1612 Park Ave.,1612 park ave,78911,100.0
1723 Hanover Ave.,1723 hanover ave,46491,100.0
2226 Park Ave.,2226 park ave,79146,100.0
1901 Stuart Ave.,1901 stuart ave,95558,100.0
2020 Stuart Ave.,2020 stuart ave,95610,100.0
1812 Monument Ave.,1812 monument ave,71821,100.0
2008 Monument Ave.,2008 monument ave,71872,100.0
2206 Monument Ave.,2206 monument ave,71921,100.0
2213 Monument Ave.,2213 monument ave,71925,100.0
2300 Monument Ave.,2300 monument ave,71972,100.0
2512 Monument Ave.,2512 monument ave,72002,100.0
2605 Monument Ave.,2605 monument ave,72022,100.0
2712 Monument Ave.,2712 monument ave,72047,100.0
1015 W. Franklin St.,1015 w franklin st,37207,100.0
1209 W. Franklin St.,1209 w franklin st,37380,100.0
400 N. Allen Ave.,400 n allen ave,1135,100.0
407 N. Allen Ave.,407 n allen ave,1141,100.0
1803 Hanover Ave.,1803 hanover ave,46499,100.0
1802 Park Ave.,1802 park ave,78962,100.0
1810 Park Ave.,1810 park ave,78969,100.0
1824 Park Ave.,1824 park ave,78991,100.0
1828 Park Ave.,1828 park ave,78997,100.0
1901 Stuart Ave.,1901 stuart ave,95558,100.0
1412 Grove Ave.,1412 grove ave,44049,100.0
1513 Hanover Ave.,1513 hanover ave,46392,100.0
2710 Monument Ave.,2710 monument ave,72046,100.0
1023 Park Ave.,1023 park ave,78833,100.0
1500 Park Ave.,1500 park ave,78886,100.0
1514 Park Ave.,1514 park ave,78895,100.0
1524 Park Ave.,1524 park ave,78897,100.0
1534 Park Ave.,1534 park ave,78900,100.0
2605 Monument Ave.,2605 monument ave,72022,100.0
1129 Floyd Ave.,1129 floyd ave,34479,100.0
1621 Hanover Ave.,1621 hanover ave,3274597,100.0
1722 Hanover Ave.,1722 hanover ave,46490,100.0
2116 Hanover Ave.,2116 hanover ave,46624,100.0
1825 Grove Ave.,1825 grove ave,44288,100.0
1800 Monument Ave.,1800 monument ave,71810,100.0
1815 Monument Ave.,1815 monument ave,71822,100.0
2330 Monument Ave.,2330 monument ave,71987,100.0
2015 Stuart Ave.,2015 stuart ave,95602,100.0
1827 Grove Ave.,1827 grove ave,44290,100.0
2213 Grove Ave.,2213 grove ave,44424,100.0
2527 Kensington Ave.,2527 kensington ave,54602,100.0
1825 Monument Ave.,1825 monument ave,3150823,100.0
1129 West Ave.,1129 west ave,102477,100.0
2510 Hanover Ave.,2510 hanover ave,46779,100.0
112 N. Harvie St.,112 n harvie st,47872,100.0
823 W. Broad St.,823 w broad st,11179,100.0
819 W. Broad St.,819 w broad st,11174,100.0
1505 West Ave.,1505 west ave,102506,100.0
2314 Monument Ave.,2314 monument ave,71979,100.0
405 N. Allen Ave.,405 n allen ave,1139,100.0
1303 Grove Ave.,1303 grove ave,43987,100.0
1702 Park Ave.,1702 park ave,78941,100.0
2609 Hanover Ave.,2609 hanover ave,46823,100.0
2201 Park Ave.,2201 park ave,79102,100.0
2022 Floyd Ave.,2022 floyd ave,34807,100.0
2319 Monument Ave.,2319 monument ave,71981,100.0
1513 West Ave.,1513 west ave,102519,100.0
1623 W. Main St.,1623 w main st,64447,100.0
2336 Monument Ave.,2336 monument ave,71988,100.0
2105 Hanover Ave.,2105 hanover ave,46612,100.0
1620 Hanover Ave.,1620 hanover ave,46424,100.0
1618 Hanover Ave.,1618 hanover ave,46422,100.0
1829 Hanover Ave.,1829 hanover ave,46528,100.0
2122 Hanover Ave.,2122 hanover ave,46632,100.0
312 N. Granby St.,312 n granby st,42164,100.0
2101 Hanover Ave.,2101 hanover ave,46608,100.0
2510 W. Grace St.,2510 w grace st,41206,100.0
2514 Kensington Ave.,2514 kensington ave,54587,100.0
1812 Monument Ave.,1812 monument ave,71821,100.0
2223 Monument Ave.,2223 monument ave,71946,100.0
1824 Grove Ave.,1824 grove ave,44287,100.0
1808 Park Ave.,1808 park ave,78965,100.0
2305 Grove Ave.,2305 grove ave,44450,100.0
2710 Monument Ave.,2710 monument ave,72046,100.0
2507 Kensington Ave.,2507 kensington ave,1054574,100.0
1613 Park Ave.,1613 park ave,78912,100.0
2425 Grove Ave.,2425 grove ave,1044526,100.0
1613 Grove Ave.,1613 grove ave,44181,100.0
2119 Floyd Ave.,2119 floyd ave,34839,100.0
2501 W. Grace St.,2501 w grace st,41199,100.0
2015 Park Ave.,2015 park ave,79029,100.0
1827 Grove Ave.,1827 grove ave,44290,100.0
1831 Hanover Ave.,1831 hanover ave,46529,100.0
1703 Park Ave.,1703 park ave,78942,100.0
304 N. Rowland St.,304 n rowland st,89068,100.0
2234 W. Grace St.,2234 w grace st,41073,100.0
2039 Monument Ave.,2039 monument ave,71917,100.0
2716 Monument Ave.,2716 monument ave,72049,100.0
1828 Monument Ave.,1828 monument ave,71839,100.0
1706 Hanover Ave.,1706 hanover ave,46441,100.0
2518 Hanover Ave.,2518 hanover ave,46787,100.0
1015 W. Franklin St.,1015 w franklin st,37207,100.0
2222 Grove Ave.,2222 grove ave,44435,100.0
1803 Hanover Ave.,1803 hanover ave,46499,100.0
2117 Hanover Ave.,2117 hanover ave,46625,100.0
2514 Kensington Ave.,2514 kensington ave,54587,100.0
1902 Grove Ave.,1902 grove ave,44296,100.0
1924 Hanover Ave.,1924 hanover ave,46564,100.0
1701 Grove Ave.,1701 grove ave,44207,100.0
2105 Hanover Ave.,2105 hanover ave,46612,100.0
2500 Stuart Ave.,2500 stuart ave,95769,100.0
