AddressId,AddressLabel,BuildingNumber,StreetDirection,StreetName,StreetType,ExtensionWithUnit,UnitType,UnitValue,ZipCode,Mailable,StatePlaneX,StatePlaneY,Latitude,Longitude,ID,Name,AddressBase,AddressExtension
1066160,1810 Monument Ave Apt A,1810,,Monument,Ave,,Apt,A,23220,Yes,11784223.8595063,3727098.47334802,37.5544688,-77.46057288,0350,Fan District Association,1810 Monument Ave,Apt A
1066161,1810 Monument Ave Apt B,1810,,Monument,Ave,,Apt,B,23220,Yes,11784223.8595063,3727098.47334802,37.5544688,-77.46057288,0350,Fan District Association,1810 Monument Ave,Apt B
1066162,1810 Monument Ave Apt C,1810,,Monument,Ave,,Apt,C,23220,Yes,11784223.8595063,3727098.47334802,37.5544688,-77.46057288,0350,Fan District Association,1810 Monument Ave,Apt C
1066163,1810 Monument Ave Apt D,1810,,Monument,Ave,,Apt,D,23220,Yes,11784223.8595063,3727098.47334802,37.5544688,-77.46057288,0350,Fan District Association,1810 Monument Ave,Apt D
1066164,1810 Monument Ave Apt E,1810,,Monument,Ave,,Apt,E,23220,Yes,11784223.8595063,3727098.47334802,37.5544688,-77.46057288,0350,Fan District Association,1810 Monument Ave,Apt E
1051323,1602 W Grace St Apt 1,1602,W,Grace,St,,Apt,1,23220,Yes,11785272.0073444,3726784.28729661,37.55357423,-77.45696933,0350,Fan District Association,1602 W Grace St,Apt 1
1051324,1602 W Grace St Apt 2,1602,W,Grace,St,,Apt,2,23220,Yes,11785272.0073444,3726784.28729661,37.55357423,-77.45696933,0350,Fan District Association,1602 W Grace St,Apt 2
1066131,1626 Monument Ave Apt 4,1626,,Monument,Ave,,Apt,4,23220,Yes,11784737.5782951,3726717.58303368,37.55340725,-77.45881533,0350,Fan District Association,1626 Monument Ave,Apt 4
1066132,1626 Monument Ave Apt 5,1626,,Monument,Ave,,Apt,5,23220,Yes,11784737.5782951,3726717.58303368,37.55340725,-77.45881533,0350,Fan District Association,1626 Monument Ave,Apt 5
1066128,1626 Monument Ave Apt 1,1626,,Monument,Ave,,Apt,1,23220,Yes,11784737.5782951,3726717.58303368,37.55340725,-77.45881533,0350,Fan District Association,1626 Monument Ave,Apt 1
1066129,1626 Monument Ave Apt 2,1626,,Monument,Ave,,Apt,2,23220,Yes,11784737.5782951,3726717.58303368,37.55340725,-77.45881533,0350,Fan District Association,1626 Monument Ave,Apt 2
1066130,1626 Monument Ave Apt 3,1626,,Monument,Ave,,Apt,3,23220,Yes,11784737.5782951,3726717.58303368,37.55340725,-77.45881533,0350,Fan District Association,1626 Monument Ave,Apt 3
3010839,1125 West Ave Apt 1,1125,,West,Ave,,Apt,1,23220,Yes,11785512.83330622,3725552.57880197,37.55018439,-77.45618561,0350,Fan District Association,1125 West Ave,Apt 1
1070070,1202 Park Ave Apt 1,1202,,Park,Ave,,Apt,1,23220,Yes,11785563.5333361,3725269.26637652,37.54940481,-77.45602153,0350,Fan District Association,1202 Park Ave,Apt 1
1070071,1202 Park Ave Apt 2,1202,,Park,Ave,,Apt,2,23220,Yes,11785563.5333361,3725269.26637652,37.54940481,-77.45602153,0350,Fan District Association,1202 Park Ave,Apt 2
1055996,310 N Harrison St Apt 1,310,N,Harrison,St,,Apt,1,23220,Yes,11785879.9332939,3725210.57029968,37.549234,-77.45493244,0350,Fan District Association,310 N Harrison St,Apt 1
0047606,310 N Harrison St Apt 2,310,N,Harrison,St,,Apt,2,23220,Yes,11785879.9332939,3725210.57029968,37.549234,-77.45493244,0350,Fan District Association,310 N Harrison St,Apt 2
1049231,1012 W Franklin St Apt 6,1012,W,Franklin,St,,Apt,6,23220,Yes,11786061.5631799,3725710.59915528,37.55060166,-77.45428686,0350,Fan District Association,1012 W Franklin St,Apt 6
1049232,1012 W Franklin St Apt 7,1012,W,Franklin,St,,Apt,7,23220,Yes,11786061.5631799,3725710.59915528,37.55060166,-77.45428686,0350,Fan District Association,1012 W Franklin St,Apt 7
1049226,1012 W Franklin St Apt 1,1012,W,Franklin,St,,Apt,1,23220,Yes,11786061.5631799,3725710.59915528,37.55060166,-77.45428686,0350,Fan District Association,1012 W Franklin St,Apt 1
1049312,1030 W Franklin St Apt 7,1030,W,Franklin,St,,Apt,7,23220,Yes,11785833.7109454,3725864.66577627,37.55103169,-77.4550669,0350,Fan District Association,1030 W Franklin St,Apt 7
1049313,1030 W Franklin St Apt 71,1030,W,Franklin,St,,Apt,71,23220,Yes,11785833.7109454,3725864.66577627,37.55103169,-77.4550669,0350,Fan District Association,1030 W Franklin St,Apt 71
1049314,1030 W Franklin St Apt 72,1030,W,Franklin,St,,Apt,72,23220,Yes,11785833.7109454,3725864.66577627,37.55103169,-77.4550669,0350,Fan District Association,1030 W Franklin St,Apt 72
1049315,1030 W Franklin St Apt 73,1030,W,Franklin,St,,Apt,73,23220,Yes,11785833.7109454,3725864.66577627,37.55103169,-77.4550669,0350,Fan District Association,1030 W Franklin St,Apt 73
1049316,1030 W Franklin St Apt 74,1030,W,Franklin,St,,Apt,74,23220,Yes,11785833.7109454,3725864.66577627,37.55103169,-77.4550669,0350,Fan District Association,1030 W Franklin St,Apt 74
1049317,1030 W Franklin St Apt 75,1030,W,Franklin,St,,Apt,75,23220,Yes,11785833.7109454,3725864.66577627,37.55103169,-77.4550669,0350,Fan District Association,1030 W Franklin St,Apt 75
1049318,1030 W Franklin St Apt 76,1030,W,Franklin,St,,Apt,76,23220,Yes,11785833.7109454,3725864.66577627,37.55103169,-77.4550669,0350,Fan District Association,1030 W Franklin St,Apt 76
1049319,1030 W Franklin St Apt 77,1030,W,Franklin,St,,Apt,77,23220,Yes,11785833.7109454,3725864.66577627,37.55103169,-77.4550669,0350,Fan District Association,1030 W Franklin St,Apt 77
1049320,1030 W Franklin St Apt 78,1030,W,Franklin,St,,Apt,78,23220,Yes,11785833.7109454,3725864.66577627,37.55103169,-77.4550669,0350,Fan District Association,1030 W Franklin St,Apt 78
3008662,1030 W Franklin St Apt 83,1030,W,Franklin,St,,Apt,83,23220,Yes,11785833.7109454,3725864.66577627,37.55103169,-77.4550669,0350,Fan District Association,1030 W Franklin St,Apt 83
3008664,1030 W Franklin St Ste 9,1030,W,Franklin,St,,Ste,9,23220,Yes,11785833.7109454,3725864.66577627,37.55103169,-77.4550669,0350,Fan District Association,1030 W Franklin St,Ste 9
1049269,1030 W Franklin St Apt 1,1030,W,Franklin,St,,Apt,1,23220,Yes,11785833.7109454,3725864.66577627,37.55103169,-77.4550669,0350,Fan District Association,1030 W Franklin St,Apt 1
1049270,1030 W Franklin St Apt 2,1030,W,Franklin,St,,Apt,2,23220,Yes,11785833.7109454,3725864.66577627,37.55103169,-77.4550669,0350,Fan District Association,1030 W Franklin St,Apt 2
1049271,1030 W Franklin St Apt 21,1030,W,Franklin,St,,Apt,21,23220,Yes,11785833.7109454,3725864.66577627,37.55103169,-77.4550669,0350,Fan District Association,1030 W Franklin St,Apt 21
